"condition_name","cause_id","gbd_level","parent_name","siblings","n_siblings","is_residual","alias","excluded_alias","scope_note"
"Other endocrine, metabolic, blood, and immune disorders","625",4,"Endocrine, metabolic, blood, and immune disorders","Thyroid diseases",1,TRUE,NA,NA,NA
"Other eye cancers","1010",4,"Eye cancer","Retinoblastoma",1,TRUE,NA,NA,NA
"Other gynecological diseases","612",4,"Gynecological diseases","Endometriosis | Female infertility | Genital prolapse | Polycystic ovarian syndrome | Premenstrual syndrome | Uterine fibroids",6,TRUE,NA,NA,NA
"Other hemoglobinopathies and hemolytic anemias","618",4,"Hemoglobinopathies and hemolytic anemias","G6PD deficiency | G6PD trait | Sickle cell disorders | Sickle cell trait | Thalassemias | Thalassemias trait",6,TRUE,NA,NA,NA
"Other leukemia","943",4,"Leukemia","Acute lymphoid leukemia | Acute myeloid leukemia | Chronic lymphoid leukemia | Chronic myeloid leukemia",4,TRUE,NA,NA,NA
"Other neonatal disorders","385",4,"Neonatal disorders","Hemolytic disease and other neonatal jaundice | Neonatal encephalopathy due to birth asphyxia and trauma | Neonatal preterm birth | Neonatal sepsis and other neonatal infections",4,TRUE,NA,NA,NA
"Other non-Hodgkin lymphoma","1007",4,"Non-Hodgkin lymphoma","Burkitt lymphoma",1,TRUE,NA,NA,NA
"Other non-rheumatic valve diseases","970",4,"Non-rheumatic valvular heart disease","Non-rheumatic calcific aortic valve disease | Non-rheumatic degenerative mitral valve disease",2,TRUE,NA,NA,NA
"Other oral disorders","685",4,"Oral disorders","Caries of deciduous teeth | Caries of permanent teeth | Edentulism | Periodontal diseases",4,TRUE,NA,NA,NA
"Other pneumoconiosis","514",4,"Pneumoconiosis","Asbestosis | Coal workers pneumoconiosis | Silicosis",3,TRUE,NA,NA,NA
"Other sexually transmitted infections","399",4,"Sexually transmitted infections excluding HIV","Chlamydial infection | Genital herpes | Gonococcal infection | Syphilis | Trichomoniasis",5,TRUE,NA,NA,NA
"Other urinary diseases","602",4,"Urinary diseases and male infertility","Benign prostatic hyperplasia | Male infertility | Urinary tract infections and interstitial nephritis | Urolithiasis",4,TRUE,NA,NA,NA
"Other vision loss","1162",4,"Blindness and vision loss","Age-related macular degeneration | Cataract | Glaucoma | Near vision loss | Refraction disorders",5,TRUE,NA,NA,NA
"Paratyphoid fever","320",4,"Typhoid and paratyphoid","Typhoid fever",1,FALSE,NA,NA,NA
"Peptic ulcer disease","527",4,"Upper digestive system diseases","Gastritis and duodenitis | Gastroesophageal reflux disease",2,FALSE,NA,NA,NA
"Periodontal diseases","683",4,"Oral disorders","Caries of deciduous teeth | Caries of permanent teeth | Edentulism | Other oral disorders",4,FALSE,NA,NA,NA
"Polycystic ovarian syndrome","605",4,"Gynecological diseases","Endometriosis | Female infertility | Genital prolapse | Other gynecological diseases | Premenstrual syndrome | Uterine fibroids",6,FALSE,NA,NA,NA
"Premenstrual syndrome","609",4,"Gynecological diseases","Endometriosis | Female infertility | Genital prolapse | Other gynecological diseases | Polycystic ovarian syndrome | Uterine fibroids",6,FALSE,NA,NA,NA
"Pyoderma","657",4,"Bacterial skin diseases","Cellulitis",1,FALSE,NA,NA,NA
"Refraction disorders","999",4,"Blindness and vision loss","Age-related macular degeneration | Cataract | Glaucoma | Near vision loss | Other vision loss",5,FALSE,NA,NA,NA
"Retinoblastoma","1009",4,"Eye cancer","Other eye cancers",1,FALSE,NA,NA,NA
"Seborrhoeic dermatitis","979",4,"Dermatitis","Atopic dermatitis | Contact dermatitis",2,FALSE,NA,NA,NA
"Sickle cell disorders","615",4,"Hemoglobinopathies and hemolytic anemias","G6PD deficiency | G6PD trait | Other hemoglobinopathies and hemolytic anemias | Sickle cell trait | Thalassemias | Thalassemias trait",6,FALSE,NA,NA,NA
"Sickle cell trait","838",4,"Hemoglobinopathies and hemolytic anemias","G6PD deficiency | G6PD trait | Other hemoglobinopathies and hemolytic anemias | Sickle cell disorders | Thalassemias | Thalassemias trait",6,FALSE,NA,NA,NA
"Silicosis","511",4,"Pneumoconiosis","Asbestosis | Coal workers pneumoconiosis | Other pneumoconiosis",3,FALSE,NA,NA,NA
"Subarachnoid hemorrhage","497",4,"Stroke","Intracerebral hemorrhage | Ischemic stroke",2,FALSE,NA,NA,NA
"Syphilis","394",4,"Sexually transmitted infections excluding HIV","Chlamydial infection | Genital herpes | Gonococcal infection | Other sexually transmitted infections | Trichomoniasis",5,FALSE,NA,NA,NA
"Tension-type headache","548",4,"Headache disorders","Migraine",1,FALSE,NA,NA,NA
"Thalassemias","614",4,"Hemoglobinopathies and hemolytic anemias","G6PD deficiency | G6PD trait | Other hemoglobinopathies and hemolytic anemias | Sickle cell disorders | Sickle cell trait | Thalassemias trait",6,FALSE,NA,NA,NA
"Thalassemias trait","837",4,"Hemoglobinopathies and hemolytic anemias","G6PD deficiency | G6PD trait | Other hemoglobinopathies and hemolytic anemias | Sickle cell disorders | Sickle cell trait | Thalassemias",6,FALSE,NA,NA,NA
"Thyroid diseases","1032",4,"Endocrine, metabolic, blood, and immune disorders","Other endocrine, metabolic, blood, and immune disorders",1,FALSE,NA,NA,NA
"Trichomoniasis","397",4,"Sexually transmitted infections excluding HIV","Chlamydial infection | Genital herpes | Gonococcal infection | Other sexually transmitted infections | Syphilis",5,FALSE,NA,NA,NA
"Trichuriasis","362",4,"Intestinal nematode infections","Ascariasis | Hookworm disease",2,FALSE,NA,NA,NA
"Turner syndrome","646",4,"Congenital birth defects","Congenital heart anomalies | Congenital musculoskeletal and limb anomalies | Digestive congenital anomalies | Down syndrome | Klinefelter syndrome | Neural tube defects | Orofacial clefts | Other chromosomal abnormalities | Other congenital birth defects | Urogenital congenital anomalies",10,FALSE,NA,NA,NA
"Typhoid fever","319",4,"Typhoid and paratyphoid","Paratyphoid fever",1,FALSE,NA,NA,NA
"Ulcerative colitis","1024",4,"Inflammatory bowel disease","Crohn's disease",1,FALSE,NA,NA,NA
"Urinary tract infections and interstitial nephritis","595",4,"Urinary diseases and male infertility","Benign prostatic hyperplasia | Male infertility | Other urinary diseases | Urolithiasis",4,FALSE,NA,NA,NA
"Urogenital congenital anomalies","650",4,"Congenital birth defects","Congenital heart anomalies | Congenital musculoskeletal and limb anomalies | Digestive congenital anomalies | Down syndrome | Klinefelter syndrome | Neural tube defects | Orofacial clefts | Other chromosomal abnormalities | Other congenital birth defects | Turner syndrome",10,FALSE,NA,NA,NA
"Urolithiasis","596",4,"Urinary diseases and male infertility","Benign prostatic hyperplasia | Male infertility | Other urinary diseases | Urinary tract infections and interstitial nephritis",4,FALSE,NA,NA,NA
"Uterine fibroids","604",4,"Gynecological diseases","Endometriosis | Female infertility | Genital prolapse | Other gynecological diseases | Polycystic ovarian syndrome | Premenstrual syndrome",6,FALSE,NA,NA,NA
"Visceral leishmaniasis","348",4,"Leishmaniasis","Cutaneous and mucocutaneous leishmaniasis",1,FALSE,NA,NA,NA
